Satellite	Frequence	Pol	Txp	Beam	Standard	Modulation	SR/FEC	Network, bitrate	NID	TID	Row
Hot Bird 13E	11096.00	H	129	Europe	DVB-S2	8PSK	29900 2/3	GCF/EHB13B_129	318	12900	109000000
Hot Bird 13E	11117.00	V	130	Europe	DVB-S2	8PSK	27500 3/4	Polsat, 61.3 Mb/s	318	13000	113000000
Hot Bird 13E	11137.00	H	131	Europe	DVB-S	QPSK	27500 3/4	38.0 Mb/s	318	13100	117000000
Hot Bird 13C	11158.00	V	132	HB9 Europe	DVB-S2	8PSK	27500 3/4	Polsat, 61.3 Mb/s	113	13200	121000000
Hot Bird 13E	11179.00	H	133	Europe	DVB-S2	8PSK	27500 3/4	Telespazio Digital Platform, 59.9 Mb/s	318	13300	125000000
Hot Bird 13E	11200.00	V	134	Europe	DVB-S	QPSK	27500 5/6	Site - 1, 42.2 Mb/s	318	13400	129000000
Hot Bird 13C	11219.25	H	1	HB9 Europe	DVB-S2	8PSK	29900 3/5	XTRA 13E, 52.0 Mb/s	85	94	133000000
Hot Bird 13C	11240.00	V	2	HB9 Europe	DVB-S	QPSK	27500 3/4	38.0 Mb/s	318	200	137000000
Hot Bird 13C	11258.00	H	3	HB9 Europe	DVB-S2	8PSK	27500 3/4	MCNC, 61.3 Mb/s	318	300	141000000
Hot Bird 13C	11278.36	V	4	HB9 Europe	DVB-S2	8PSK	27500 3/4	nc+, 55.9 Mb/s	318	400	145000000
Hot Bird 13C	11296.00	H	5	HB9 Europe	DVB-S	QPSK	27500 5/6	iKO Media Group, 42.2 Mb/s	318	500	157000000
Hot Bird 13C	11316.50	V	6	HB9 Europe	DVB-S	QPSK	27500 3/4	HB T006, 38.0 Mb/s	318	600	161000000
Hot Bird 13C	11334.00	H	7	HB9 Europe	DVB-S	QPSK	27500 3/4	HotBird-13E, 38.0 Mb/s	318	700	165000000
Hot Bird 13C	11355.00	V	8	HB9 Europe	DVB-S	QPSK	29900 5/6	Sky	64511	800	169000000
Hot Bird 13C	11373.00	H	9	HB9 Europe	DVB-S2	8PSK	27500 3/4	59.9 Mb/s	318	900	173000000
Hot Bird 13C	11393.44	V	10	HB9 Europe	DVB-S2	8PSK	27500 3/4	61.3 Mb/s	318	1000	177000000
Hot Bird 13C	11411.00	H	11	HB9 Europe	DVB-S2	8PSK	27500 3/4	nc+, 61.3 Mb/s	318	1100	181000000
Hot Bird 13E	11432.00	V	12	Europe	DVB-S2	8PSK	29900 3/4	65.1 Mb/s	272	1200	185000000
Hot Bird 13C	11449.00	H	13	HB9 Europe	DVB-S2	8PSK	27500 3/4	CANAL+, 61.3 Mb/s	318	1300	189000000
Hot Bird 13B	11470.00	V	14	HB8 Europe	DVB-S	QPSK	27500 3/4	38.0 Mb/s	318	1400	193000000
Hot Bird 13C	11487.77	H	15	HB9 Europe	DVB-S2	8PSK	27500 3/4	nc+, 61.3 Mb/s	318	1500	197000000
Hot Bird 13C	11508.00	V	16	HB9 Europe	DVB-S2	8PSK	27500 3/4	61.3 Mb/s	318	1600	201000000
Hot Bird 13C	11526.00	H	17	HB9 Europe	DVB-S2	8PSK	29700 2/3	EUTELSAT 13 EAST, 57.5 Mb/s	318	1700	205000000
Hot Bird 13B	11541.03	V	18	HB8 Europe	DVB-S	QPSK	22000 5/6	M-Three satcom, 33.8 Mb/s	200	1800	209000000
Hot Bird 13B	11565.00	H	153	HB8 Europe	DVB-S2	8PSK	29900 3/4	GCF/EHB13B_153, 65.1 Mb/s	318	15300	213000000
Hot Bird 13E	11585.00	V	154	Europe	DVB-S2	8PSK	27500 5/6	68.2 Mb/s	318	15400	217000000
Hot Bird 13B	11604.00	H	155	HB8 Europe	DVB-S	QPSK	27500 5/6	Eutelsat	318	15500	221000000
Hot Bird 13E	11623.00	V	156	Europe	DVB-S	QPSK	27500 3/4	GCP/HB6/156, 38.0 Mb/s	318	15600	225000000
Hot Bird 13E	11642.00	H	157	Europe	DVB-S2	8PSK	27500 3/4	61.3 Mb/s	318	15700	229000000
Hot Bird 13E	11662.00	V	158	Europe	DVB-S2	8PSK	27500 3/4	59.9 Mb/s	318	15800	233000000
Hot Bird 13E	11681.00	H	159	Europe	DVB-S2	8PSK	27500 3/4	Via Eutelsat, 61.3 Mb/s	319	15900	237000000
Hot Bird 13B	11727.00	V	50	HB8 Europe	DVB-S2	8PSK	29900 3/4	GCF/EHB13B_50, 65.1 Mb/s	318	5000	241000000
Hot Bird 13C	11747.00	H	51	HB9 Europe	DVB-S2	8PSK	27500 3/4	59.9 Mb/s	318	5103	245000000
Hot Bird 13C	11766.00	V	52	HB9 Europe	DVB-S2	8PSK	29900 3/4	RAI, 65.1 Mb/s	318	5200	249000000
Hot Bird 13B	11785.00	H	53	HB8 Europe	DVB-S2	8PSK	29900 3/4	Sky, 65.1 Mb/s	64511	5300	253000000
Hot Bird 13C	11804.00	V	54	HB9 Europe	DVB-S	QPSK	27500 2/3	RAI, 33.8 Mb/s	318	5400	257000000
Hot Bird 13B	11823.00	H	55	HB8 Europe	DVB-S2	8PSK	27500 3/4	NetMed, 59.9 Mb/s	318	5500	261000000
Hot Bird 13B	11842.00	V	56	HB8 Europe	DVB-S2	8PSK	29900 3/4	Sky, 65.1 Mb/s	64511	5600	265000000
Hot Bird 13B	11862.00	H	57	HB8 Europe	DVB-S	QPSK	29900 5/6	Sky, 45.9 Mb/s	64511	5700	269000000
Hot Bird 13B	11881.00	V	58	HB8 Europe	DVB-S	QPSK	27500 3/4	Sky, 38.0 Mb/s	64511	5800	273000000
Hot Bird 13B	11900.00	H	59	HB8 Europe	DVB-S2	8PSK	29900 3/4	Sky, 65.1 Mb/s	64511	5900	285000000
Hot Bird 13C	11919.00	V	60	HB9 Europe	DVB-S	QPSK	29900 5/6	Mediaset, 45.9 Mb/s	272	6000	289000000
Hot Bird 13B	11938.00	H	61	HB8 Europe	DVB-S2	8PSK	27500 3/4	NetMed, 59.9 Mb/s	318	6100	293000000
Hot Bird 13B	11958.00	V	62	HB8 Europe	DVB-S	QPSK	27500 3/4	Sky, 38.0 Mb/s	64511	6200	297000000
Hot Bird 13B	11977.00	H	63	HB8 Europe	DVB-S	QPSK	29900 5/6	Sky, 45.9 Mb/s	64511	6300	301000000
Hot Bird 13B	11996.00	V	64	HB8 Europe	DVB-S2	8PSK	29900 3/4	Sky, 65.1 Mb/s	64511	6400	305000000
Hot Bird 13B	12015.00	H	65	HB8 Europe	DVB-S2	8PSK	27500 3/4	Polsat, 61.3 Mb/s	318	6500	309000000
Hot Bird 13B	12034.00	V	66	HB8 Europe	DVB-S	QPSK	29900 5/6	Sky, 45.9 Mb/s	64511	6600	313000000
Hot Bird 13B	12054.00	H	67	HB8 Europe	DVB-S	QPSK	29900 5/6	Sky, 45.9 Mb/s	64511	6700	317000000
Hot Bird 13B	12073.00	V	68	HB8 Europe	DVB-S	QPSK	29900 5/6	Sky, 45.9 Mb/s	64511	6800	321000000
Hot Bird 13B	12092.00	H	69	HB8 Europe	DVB-S2	8PSK	29900 3/4	Sky, 65.1 Mb/s	64511	6900	325000000
Hot Bird 13C	12111.00	V	70	HB9 Europe	DVB-S	QPSK	27500 3/4	PIATTAFORMA BACKUP, 38.0 Mb/s	318	7000	329000000
Hot Bird 13B	12130.00	H	71	HB8 Europe	DVB-S2	8PSK	27500 3/4	NetMed, 59.9 Mb/s	318	7100	333000000
Hot Bird 13B	12149.00	V	72	HB8 Europe	DVB-S	QPSK	27500 3/4	EUTELSAT, 38.0 Mb/s	318	7200	337000000
Hot Bird 13B	12169.00	H	73	HB8 Europe	DVB-S2	8PSK	27500 3/4	59.9 Mb/s	318	7300	341000000
Hot Bird 13B	12188.00	V	74	HB8 Europe	DVB-S2	8PSK	27500 3/4	Polsat, 61.3 Mb/s	113	7400	345000000
Hot Bird 13B	12207.00	H	75	HB8 Europe	DVB-S2	8PSK	29900 3/4	Sky, 65.1 Mb/s	64511	7500	349000000
Hot Bird 13B	12225.00	V	76	HB8 Europe	DVB-S	QPSK	27500 3/4	BBG HotBird MCPC V POL, 38.0 Mb/s	1	101	353000000
Hot Bird 13B	12245.00	H	77	HB8 Europe	DVB-S	QPSK	29900 5/6	Sky	64511	7700	357000000
Hot Bird 13B	12264.00	V	78	HB8 Europe	DVB-S2	8PSK	27500 3/4	Polsat, 61.3 Mb/s	113	7800	361000000
Hot Bird 13B	12284.00	H	79	HB8 Europe	DVB-S2	8PSK	27500 3/4	Polsat, 61.3 Mb/s	113	7900	365000000
Hot Bird 13B	12303.00	V	80	HB8 Europe	DVB-S2	8PSK	27500 3/4	59.9 Mb/s	318	8000	369000000
Hot Bird 13B	12322.00	H	81	HB8 Europe	DVB-S	QPSK	27500 3/4	Eutelsat-RMB, 38.0 Mb/s	318	8100	373000000
Hot Bird 13B	12341.00	V	82	HB8 Europe	DVB-S2	8PSK	29900 3/4	Sky, 65.1 Mb/s	64511	8200	377000000
Hot Bird 13B	12360.00	H	83	HB8 Europe	DVB-S2	8PSK	29900 3/4	Sky, 65.1 Mb/s	64511	8300	381000000
Hot Bird 13B	12380.00	V	84	HB8 Europe	DVB-S	QPSK	27500 3/4	GCP/EHB13B/84, 38.0 Mb/s	318	8400	385000000
Hot Bird 13B	12399.00	H	85	HB8 Europe	DVB-S2	8PSK	29700 2/3	ETISALAT, 57.5 Mb/s	318	8500	389000000
Hot Bird 13B	12418.00	V	86	HB8 Europe	DVB-S2	8PSK	29900 3/4	Sky, 65.1 Mb/s	64511	8600	393000000
Hot Bird 13B	12437.00	H	87	HB8 Europe	DVB-S2	8PSK	29900 3/5	XTRA 13E, 52.0 Mb/s	85	95	397000000
Hot Bird 13B	12466.00	V	88	HB8 Europe	DVB-S2	8PSK	29900 3/4	Sky, 65.1 Mb/s	64511	8800	401000000
Hot Bird 13B	12475.00	H	89	HB8 Europe	DVB-S2	8PSK	29900 3/4	GCF/EHB13B_89, 65.1 Mb/s	318	8900	413000000
Hot Bird 13E	12520.00	V	90	Europe	DVB-S	QPSK	27500 5/6	42.2 Mb/s	318	9000	417000000
Hot Bird 13E	12539.00	H	91	Europe	DVB-S2	8PSK	30000 5/6	EUTELSAT-RMB, 72.7 Mb/s	318	9100	421000000
Hot Bird 13E	12558.00	V	92	Europe	DVB-S	QPSK	27500 3/4	PIATTAFORMA BACKUP, 38.0 Mb/s	318	9200	425000000
Hot Bird 13E	12576.00	H	93	Europe	DVB-S2	QPSK	27500 3/4	59.9 Mb/s	318	9300	429000000
Hot Bird 13E	12596.00	V	94	Europe	DVB-S	QPSK	27500 3/4	Globecast, 38.0 Mb/s	318	9400	433000000
Hot Bird 13C	12616.00	H	95	HB9 Europe	DVB-S	QPSK	29900 5/6	Sky, 45.9 Mb/s	64511	9500	437000000
Hot Bird 13C	12635.00	V	96	HB9 Europe	DVB-S	QPSK	29900 5/6	Sky, 45.9 Mb/s	64511	9600	441000000
Hot Bird 13C	12654.00	H	97	HB9 Europe	DVB-S	QPSK	27500 5/6	42.2 Mb/s	702	9700	445000000
Hot Bird 13B	12673.00	V	98	HB8 Europe	DVB-S	QPSK	29900 5/6	Sky, 45.9 Mb/s	64511	9800	449000000
Hot Bird 13C	12692.00	H	99	HB9 Europe	DVB-S2	8PSK	27500 3/4	AB sat, 61.3 Mb/s	319	9900	453000000
Hot Bird 13C	12713.00	V	100	HB9 Europe	DVB-S	QPSK	29900 5/6	Sky, 45.9 Mb/s	64511	10000	457000000
Hot Bird 13C	12731.00	H	101	HB9 Europe	DVB-S	QPSK	29900 5/6	Sky, 45.9 Mb/s	64511	10100	461000000
