No	Name	Lang
176	Kurdistan TV|Kurdistan TV HD	[kur]
177	Daystar HD|Daystar TV	[eng]
178	Bethel HD|Bethel TV (Peru)|Bethel TV HD Peru	[eng][sp][spa]
179	Zeta TV HD|Radio Zeta Radiovisione|Radio Zeta Radiovisione HD|Zeta TV	[ita]
180	RTL 102.5 Radio Doc|RTL 102.5 Viaradio|RTL 102.5 News Via Radio HD	[ita]
181	People TV|People TV / Rete 7	[ita]
182	Emilia Romagna 24|Emilia-Romagna 24	[ita]
183	TRM Network|TRM h24	[ita]
184	Canale Italia	[eng][ita]
185	La 8	[ita]
186	AuroraArte|Aurora Arte	[ita]
187	Life 120 Channel|Life 120 Channel (Arte E Cucina)	[ita]
188	Tele Padre Pio|Padre Pio TV|TelepadrePio HD	[000][ita]
189	Tele 5 Polska|Tele 5 (Poland)|Tele 5	[pol]
190	Polonia 1	[pol]
191	TV Romania International|TVR International	[rom][rum]
192	Radio Italia TV|Radio Italia TV HD	[ita]
193	Unire Sat HD|Unire Sat|UnireSat by Teleippica HD|UnireSat by Teleippica HD test card	[ita]
194	Arte Atelier	[ita]
195	Antichità Chiossone|Antichita Chiossone	[eng][ita]
196	Radio Italia Trend TV  HD|Radio Italia Trend TV|Radio Italia Trend TV HD	[ita]
197	Suryoyo Sat	[eng][syr]
198	Venus TV Italy|Venus TV / Music Life / Lazio Channel / Fuego TV / EurSat	[ita]
199	Music Life	[ita]
200	Lazio Channel	[ita]
201	Fuego	[ita]
202	Radio Kiss Kiss TV|Kiss Kiss TV|Radio Kiss Kiss TV HD	[ita]
203	RDS Social TV|RDS Social TV HD	[ita]
204	QVC Italia HD|QVC Italia	[ita]
205	BFC|BFC Forbes|BFC (Asset and the City)	[ita]
206	CIAO|Ciao / Napoli Mia / TeleItalia	[ita]
207	Napoli Mia	[eng]
208	TVA Vicenza	[ita]
209	Videolina|VideoLina	[ita]
210	TeleItalia	[eng]
211	Eursat	[ita]
212	La 9	[ita]
213	Digiquest Promo|DigiQuest promo|Digiquest promo	[eng][ita]
214	Arte HD|ARTE Français|Arte Français HD	[000][fra][fre][ger][org][qaa][qad]
215	DW English HD|DW English	[eng]
216	BBC Arabic HD|BBC Arabic	[ara][eng]
217	Podeba TV|Pobeda International|Pobeda HD	[rus]
218	GlobeCast HD promo (Test GC 1/2/3/4)	
219		
220		
221		
222	Sharjah HD|Sharjah TV|Sharjah TV HD	[ara]
223	Dubai Sports 1 HD|Abu Dhabi Sports 1|Abu Dhabi Sports 1 HD	[ara][eng]
224	Zad TV|ZAD TV	[ara]
225	Al Sharqiya HD|Alsharqiya TV|Alsharqiya TV HD	[ara]
226	Al Arabiya HD|Al Arabiya	[ara]
227	Sky News Arabia	[ara]
228	Orient News	[ara][eng]
229	Camera dei Deputati	[ita]
230	Rai Sport	[ita]
231	Rai Storia	[ita]
232	Rai Gulp	[ita]
233	Rai Scuola	[ita]
234	Rai Nettuno Sat Uno|Uninettuno University TV	[ita]
235	Senato italiano|Senato TV|Senato Italiano	[ita][vo]
236	TgCom24|TGCom 24	[ita]
237		
238	TV 2000|TV 2000 (some programs are encrypted)	[ita]
239	Al Jazeera Documentary|Aljazeera Documentary	[ara]
240	Al Jazeera Mubasher|Aljazeera Mubasher|Al Jazeera Mobasher	[ara]
241	Al Jazeera Satellite Channel|Aljazeera Channel|Al Jazeera Channel	[ara]
242	S Neu Jerusalem|Sender Neu Jerusalem	[ger]
243		
244	El Sharq|Elsharq	[ara]
245	Al Mayadeen|Al Mayadeen TV|Al Mayadeen TV Network	[ara]
246	Canale Italia 83	[ita]
247	Canale Italia 84	[ita]
248	QVC Italia	[ita]
249	RIK Sat	[gre]
250	Mekameleen TV	[ara]
251	MTA International|MTA 2|MTA 2 HD	[ara][ben][eng][fra][fre][ger][hin][urd]
252	Kanali Voulis|Vouli Tileorasi	[gre]
253	TV Okazje|tvo	[pol]
254		
255	CurrentTime HD|Nastoyashcheye Vremya|Current Time HD	[rus]
256	CurrentTime SD|Nastoyashcheye Vremya|Current Time	[rus]
257	VOA EU HD 100|VoA TV Europe|VoA TV HD	[eng]
258	CurrentTime HD 200	
259	Radio Farda 223|Radio Farda TV|Radio Farda	[per]
260	VOA Persian SD 225|VoA TV Persian	[per]
261	Evropa e Lire 227|Radio Evropa e Lirë|RFE/RL Russian HD	[alb][rus]
262	VOA Persian HD 235|VoA TV Persian|VoA TV Persian HD	[per][rus]
263	VOA EU SD 240|VoA TV Europe|VoA TV	[eng]
264	Global HD 340|VoA TV Global|American Embassy TV Network HD	[eng]
265	TV Record|Record TV Europa	[por]
266	Telesur|Telesur (Venezuela)	[esp][spa]
267	TBN Europe HD|TBN Europe	[eng]
268	Life TV|Life TV (Estonia)|Life TV Estonia	[rus]
269	Hillsong|Hillsong Channel	[eng]
270	Al Horreya TV|Al Horreya TV (TBN Arabic)	[ara]
271	TBN Poland|TBN Polska	[pol]
272	Nejat TV|TBN Nejat TV	[eng][per]
273	Al Hayat / Life Channel|Kanal Hayat|Kanal Hayat (Turk Hristiyan TV)	[ara][tur]
274	TCI	[ita]
275	TVE Internacional HD|TVE Internacional Europa|TVE Internacional Europa HD	[esp][spa]
276	24 Horas HD|Canal 24 Horas|Canal 24 Horas HD	[esp][spa]
277	Shant TV|Shant News	[arm]
278	BBC Persian	[fao][far][per]
279	Velayat TV|Velayat TV Network|Velayat TV (Alwilayah TV Farsi)	[per]
280	Iran International	[eng][per]
281	CNBC Europe HD|CNBC Europe	[eng]
282	Karbala TV|Karbala Satellite Channel	[ara][eng]
283	CGN TV	[kor]
284	Euronews Russian|EuroNews Russkiy|EuroNews Russian	[rus]
285	Euronews Hungarian|EuroNews Magyar|EuroNews Hungarian	[hun]
286	Al Siera Al Nabaweia|Sunna TV (Saudi Arabia)|Sunna TV Saudi Arabia	[ara]
287	Sama Dubai HD|Sama Dubai	[ara]
288	Dubai TV HD|Dubai TV International|Dubai International HD	[ara]
289	Dubai Sports 1 HD|Dubai Sports	[ara][eng]
290	Sudan TV	[ara]
291	ESC	
292	Jordan TV|Al Ordoni TV (Jordan TV)	[ara]
293	Libya Alwatnya|Libya Al Wataniya|Libya Al Watanya	[ara]
294	Oman TV HD|Oman TV|Oman TV Satellite HD	[ara]
295	RT HD|RT News|RT News HD|RT News HD promo	[eng]
296	RT Doc HD|RT Documentary|RT Doc HD promo	[eng]
297	Supertennis HD|Super Tennis|Super Tennis HD	[ita]
298	Telepace HD|Telepace|TelePace HD	[eng][ita]
299	2M Monde	[ara][fra]
300	Euronews Italian|EuroNews Italiano|EuroNews Italian	[ita]
301	Euronews Greek|EuroNews Ellinika|EuroNews Greek	[gre]
302	Al Rayyan HD Europe|Al Rayyan Al Qadeem|Al Rayyan 2 HD|Alrayyan 2 HD	[ara]
303	Ronahi TV|Ronahî TV	[ara][kur]
304	Med Music|Med Muzîk|Med Muzik	[ara][kur]
305	Fadak TV	[ara]
306	Alaraby 2 HD|Alaraby TV 2|Al Araby 2 HD	[ara]
307	NetViet|NetViet (VTC10)	[vie]
308	Angel TV|Angel TV Europe	[eng]
309	Sterk TV HD|Stêrk|Stêrk HD|Stêrk TV	[kur]
310	Cira TV|Çira TV|Çira TV HD|Çira TV info card	[ara][kur]
311	Syria TV HD|Syria TV	[ara]
312	Somaliland National TV	[som]
313	The Kingdom Sat|Al Malakoot Sat (The Kingdom Sat)	[ara][eng]
314	Al Jazeera HD|Aljazeera Channel|Al Jazeera Channel HD	[ara]
315	Fishing TV|Italian Fishing TV	[ita]
316	Wine TV	[aac][ita]
317	Italia Channel|Italia Channel 123E TV Emilia RomagnaMedia Text.itTelepiu ChannelPianeta TVReality TVQuore TV|Italia Channel 123	[ita]
318	E TV Emilia Romagna	[ita]
319	Mediatext.it|Media Text.it	[ita]
320	Telepiù Channel|Telepiu Channel	[ita]
321	Pianeta TV	[ita]
322	Reality TV	[ita]
323	Quore TV	[ita]
324	CNC World|CNC World English|CNC World English HD	[eng]
325	MS Motor TV|MS MotorTV|Automoto TV	[ita]
326	MediaSport Channel|MS Channel	[ita]
327	Canal Algérie|Canal Algérie 2|Canal Algérie 2 HD|Canal Algérie HD	[ara][fra]
328	Algerie 3 HD|Algérie 3|Algérie 3 HD (Thalitha TV)	[ara][fra]
329	TV Art Live	[ita]
330	BBC Arabic	[aac][ara]
331	BBC World News|BBC World News Europe	[eng]
332	Perviy kanal Europa|1TVRUS Europa	[rus]
333		
334	RT Doc|RT Documentary	[eng]
335	Documentari HD	
336	Class TV Moda	[ita]
337	Documentari HD	
338	Sport HD	
339	Sky Sport Info|[Sky Sport info card]	[ita]
340	Bambini HD	
341	Intrattenim. HD	
342	News HD	
343	News HD	
344	Cinema HD	
345	Cinema HD	
346	Primafila HD	
347	Primafila HD	
348	Sport HD	
349	Intrattenim. HD	
350	Bambini HD	
351	Sky Sport HD	
352	Sky Sport HD	
353	TEST|test card	[ara]
354	Saudi Channel 1|Saudi TV|Saudi Arabian TV 1	[ara]
355	TEST|test card	[eng]
356	Iqraa TV|Iqraa Arabic	[ara]
357	Sudan TV	[ara]
358	Oman TV HD|Oman TV|Oman TV Satellite HD|Oman TV Satellite	[ara]
359		
360		
361		
362		
363	Jordan Satellite Channel|Jordan TV|Al Ordoni TV (Jordan TV)	[ara]
364	Quran TV (Saudi Arabia)|Quran TV Saudi Arabia	[ara]
365	Libya Alwatnya|Libya Al Wataniya|Libya Al Watanya	[ara]
