Frequency	Pol	Txp	Beam	EIRP (dbW)	Provider	System	SR-FEC	Modulation	ONID-TID	Source	Updated	Row
11192	V	B6	Europe A		Simay-Azadi Iran National TV	DVB-S2	3674-3/4	8PSK	0-0	Marcel 2	191127	9057
11221	H	C1	Europe A		Eutelsat	DVB-S	27500-3/4		126-40700	Z Viglidán	200214	10000
11262	H	C3	Europe B	0		DVB-S	27500-5/6		126-30300	N Schlammer	191012	10017
11304	H	C5	Europe B	0		DVB-S2	29700-2/3	8PSK	126-30300	N Schlammer	191113	10026
11324	V	C6	Europe B	0		DVB-S2	29700-2/3	8PSK	126-30600	K Berkes	191230	10033
11345	H	C7	Europe B	0		DVB-S	27500-5/6		126-40700	K Berkes	200320	10043
11356	H	N3	Africa	0	Azam TV	DVB-S2	45000-5/6	QPSK	126-60300	Tony G	181201	10053
11387	H	C9	Europe B	0		DVB-S	27500-5/6		126-40900	N Schlammer	200320	10074
11419	H	N4	Africa	0	Azam TV	DVB-S2	45000-5/6	QPSK	126-60300	Anonymous	181112	10079
11471	H	DWW1	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-50100	S Günes	191120	11000
11471	V	DWW2	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-50200	Z Viglidán|S Günes	200321	11002
11501	V	DWW4	West		(feeds)	DVB-S2	12500-3/4	8PSK		Jamie A|Roli	200131	11007
11511	V	DWW4	West		(feeds)	DVB-S2	7500-3/4	8PSK		Roli	200201	11008
11513	H	DWW3	West	50-52	Digiturk	DVB-S2	29900-5/6	QPSK	126-50900	S Günes	200303	11009
11525	V	DWW4	West		(feeds)	DVB-S2	7500-3/4	8PSK		Jamie A|Roli	200131	11016
11582	V	DWW8	West		(feeds)	DVB-S2	7200-3/4	8PSK		Roli	200209	11017
11591	V	DWW8	West		(feeds)	DVB-S2	7200-3/4	8PSK		Roli	200223	11018
11596	H	DWW7	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-50700	D Shimoni	200115	11019
11600	V	DWW8	West		(feeds)	DVB-S2	7200-3/4	8PSK		Roli	200223	11020
11624	V	DWW10	West		(feeds)	DVB-S2	10000-3/4	8PSK		Jamie A|Roli	200131	11021
11631	V	DWW10	West		(feeds)	DVB-S2	7500-3/4	8PSK		Jamie A	200228	11022
11637	H	DWW9	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-50300	M Al-Taie	191030	11023
11642	V	DWW10	West		(feeds)	DVB-S2	7500-3/4	8PSK		Roli	200209	11025
11668	V	DWW10	West		(feeds)	DVB-S2	15000-3/4	8PSK		Jamie A	200204	11026
11678	H	DWW11	West	50-52	Digiturk	DVB-S2	30000-5/6	QPSK	126-50800	S Günes	200113	11027
11692	V	DWW12	West		(feeds)	DVB-S2	7200-3/4	8PSK		Roli	200129	11028
12510	H	F1	Europe A		(feeds)	DVB-S2	4937-3/4	8PSK		M Sixx	190617	12000
12514	V	F2	Europe A		(feeds)	DVB-S2	7200-3/4	8PSK		Jamie A	190505	12001
12520	H	F1	Europe A		(feeds)	DVB-S2	2400-3/4	8PSK		Jamie A	170609	12002
12523	H	F1	Europe A		(feeds)	DVB-S2	2400-3/5	8PSK		Jamie A	170609	12003
12526	V	F2	Europe A		Echorouk TV	DVB-S2	6592-2/3	8PSK	0-0	William-1	200128	12004
12530	H	F1	Europe A		Or Hachaim (20-23)	DVB-S	1480-3/4		8192-4096	Jamie A	190904	12007
12538	V	F2	Europe A		Elhiwar Ettounsi TV	DVB-S2	2115-5/6	8PSK	65535-1	Marcel 2	191127	12008
12543	H	F1	Europe A		(feeds)	DVB-S2	3750-5/6	8PSK		Jamie A	191212	12009
12549	V	F2	Europe A		Corallo Sat	DVB-S2	2222-5/6	QPSK	0-1	Marcel 2	180517	12010
12556	V	F2	Europe A							William-1	200301	12011
12556	H	F1	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	200301	12012
12560	V	F2	Europe A		(feeds)	DVB-S	3200-3/4			Roli	180713	12013
12571	H	F1	Europe A		(feeds)	DVB-S2	9874-3/4	8PSK		Roli	200209	12014
12573	V	F2	Europe A							William-1	200128	12015
12594	V	F4	Europe A		(feeds)	DVB-S2	4800-3/4			Stanley_cassidy	190113	12016
12599	V	F4	Europe A		(feeds)	DVB-S2	2500-?	8PSK		F Kocsis|Z Viglidán	180916	12017
12603	V	F4	Europe A		(feeds)	DVB-S2	2500-?	8PSK		F Kocsis|Z Viglidán	180916	12018
12604	H	H3	Africa	0	Azam TV	DVB-S2	29981-2/3	8PSK	126-60300	Eutelsat	190628	12019
12606	V	F4	Europe A		(feeds)	DVB-S2	2500-3/4	8PSK		Jamie A	150326	12046
12611	V	F4	Europe A		(feeds)	DVB-S2	5000-3/4	8PSK		Roli	140908	12047
12615	V	F4	Europe A		(feeds)	DVB-S2	2500-3/4	8PSK		William-1	140721	12048
12619	V	F4	Europe A		(feeds)	DVB-S	4444-7/8			Roli	141012	12049
12624	V	F4	Europe A		(feeds)	DVB-S2	2500-3/4	8PSK		William-1	140721	12050
12627	V	F4	Europe A		(feeds)	DVB-S2	2500-3/4	8PSK		Jamie A	150409	12051
12630	V	F4	Europe A		(feeds)	DVB-S2	2500-3/4	8PSK		Roli	140810	12052
12643	V	F4	Europe A		(feeds)	DVB-S2	6430-2/3	8PSK		Jamie A	141018	12053
12645	H	H4	Africa	0	Azam TV	DVB-S2	30000-2/3	8PSK	126-60400	Tony G	181201	12054
12650	V	F4	Europe A		(feeds)	DVB-S2	2400-3/4	8PSK		Roli	150701	12055
12653	V	F4	Europe A		(feeds)	DVB-S2	2400-5/6	8PSK		Roli	150628	12056
12657	H	F3	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Jamie A	171111	12057
12659	V	F4	Europe A		(feeds)	DVB-S2	4936-3/4	8PSK		Roli	150118	12058
12671	H	F5	Europe A		(feeds)	DVB-S2	2400-3/4	8PSK		Jamie A	170609	12059
12675	V	F6	Europe A		(feeds)	DVB-S2	4150-3/4	8PSK		Roli	170816	12060
12681	H	F5	Europe A		(feeds)	DVB-S2	3400-3/4	8PSK		Roli	170608	12061
12685	V	F6	Europe A		(feeds)	DVB-S2	7120-2/3	8PSK		Jamie A	171111	12062
12687	H	F5	Europe A		(feeds)	DVB-S2	7200-3/4			Stanley_cassidy	190615	12063
12692	V	F6	Europe A		(feeds)	DVB-S2	3600-3/4	8PSK		Marcel 2	170922	12064
12704	H	F5	Europe A		(feeds)	DVB-S2	4400-3/4	QPSK		Roli	151230	12065
12705	V	F6	Europe A		(feeds)	DVB-S2	4900-3/4	8PSK		Roli	190106	12066
12714	V	F6	Europe A		(feeds)	DVB-S2	9800-3/4	8PSK		Marcel 2	171207	12067
12724	V	F6	Europe A		(feeds)	DVB-S2	3333-3/4	8PSK		Jamie A	191103	12068
12728	V	F6	Europe A		(feeds)	DVB-S2	3333-3/4	8PSK		Jamie A	191103	12069
12742	V	F6	Europe A		(feeds)	DVB-S2	4600-3/4	8PSK		Roli	190715	12070
12744	H	F5	Europe A		Numidia TV	DVB-S	2222-3/4		1-1	Marcel 2	200117	12071
21547	H	J2	Europe C		(feeds)	DVB-S2	7200-3/4	8PSK		Jamie A	200201	13000
21565	H	J2	Europe C		2S TV	DVB-S2	1100-2/3	8PSK	1-1	Onacila	180216	13001
21567	H	J2	Europe C		QTV Gambia	DVB-S2	1100-2/3	8PSK	1-1	Onacila	170619	13002
21568	H	J2	Europe C		Bantamba TV	DVB-S2	1100-2/3	8PSK	1-1	Onacila	170619	13003
21571	H	J2	Europe C		TPA Internacional	DVB-S	2441-2/3		1-1	DB4VQ	160319	13004
21662	H	M1	Europe C		(feeds)	DVB-S2	7200-3/4	8PSK		Jamie A	151112	13007
21672	H	M1	Europe C		(feeds)	DVB-S2	7200-3/4	8PSK		Jamie A	151114	13008
21681	H	M1	Europe C		(feeds)	DVB-S2	7200-3/4	8PSK		Jamie A	151114	13009
21696	H	M1	Europe C		(feeds)	DVB-S2	3124-2/3	8PSK		Onacila	160303	13010
21727	H	M1	Europe C		(feeds)	DVB-S2	4800-2/3	8PSK		Jamie A	190223	13011
21750	H	M1	Europe C		Muvi TV	DVB-S2	17272-2/3	8PSK	1-1	Onacila	200314	13012
