No	Freq	Pol	Beam	SID	Name	Lang
	11856	V	Europe Wide	7040	Reality Kings TV (22-06)	[eng]
	11856	V	Europe Wide	7041	Reality Kings TV (22-06)	[eng]
	11856	V	Europe Wide	7056	Q2	[dut]
	11856	V	Europe Wide	7057	Vier	[dut]
	11856	V	Europe Wide	7058	RTL Z	[dut]
	11856	V	Europe Wide	7060	Eurosport 2 Nederland	[dut][eng]
	11856	V	Europe Wide	7061	Zes	[dut]
	11856	V	Europe Wide	7164	Fox Sports 2 Nederland	[dut]
	11856	V	Europe Wide	7165	Nautical Channel	[eng][fre][ger][ita][rus]
	11856	V	Europe Wide	7166	Eurosport 1 België	[cze][dut][eng][hun]
	11856	V	Europe Wide	7167	Eurosport 1 België	[dut][eng]
	11856	V	Europe Wide	7169	JimJam Europe	[cze][eng][hun]
3	11914	H	Europe Wide	20099	RTS Svet	[srp]
	11914	H	Europe Wide	20820	Radio Beograd 1	[srp]
	11914	H	Europe Wide	20821	Radio Beograd 3 (20-05)	[srp]
	11914	H	Europe Wide	20821	Radio Beograd 2 (05-20)	[srp]
	11914	H	Europe Wide	20822	Beograd 202	[srp]
	11914	H	Europe Wide	20850	AS FM (Serbia)	[srp]
	11914	H	Europe Wide	20851	Play	[srp]
	11934	V	Europe Wide	0	Radio POS Euro AC	[ger]
	11934	V	Europe Wide	0	Radio POS Easy	[ger]
	11934	V	Europe Wide	0	Radio POS Lounge	[ger]
	11934	V	Europe Wide	0	Radio POS Kaufland	[ger]
	11934	V	Europe Wide	0	Radio POS Easy Listening	[ger]
	11934	V	Europe Wide	0	Radio POS AC International	[ger]
	11934	V	Europe Wide	0	Radio POS Soft AC	[ger]
4	11934	V	Europe Wide	14041	German Tote TV	[ger]
	11934	V	Europe Wide	14050	FightBox HD	[eng]
	11934	V	Europe Wide	14051	DocuBox HD	[eng]
	11934	V	Europe Wide	14052	Prima Comedy Central	[cze]
	11934	V	Europe Wide	14053	Prima Max	[cze]
	11934	V	Europe Wide	14054	History Benelux	[dut]
	11934	V	Europe Wide	14055	TV Oranje	[dut]
	11934	V	Europe Wide	14056	Prima Zoom	[cze]
	11934	V	Europe Wide	14057	FilmBox Central Europe	[cze]
	11934	V	Europe Wide	14058	CS Film (06-24)	[cze]
	11934	V	Europe Wide	14059	CS Horror (00-06)	[cze]
	11934	V	Europe Wide	14060	Viasat History	[cze][eng][hun]
	11934	V	Europe Wide	14061	Viasat Explore East	[cze][eng]
	11934	V	Europe Wide	14062	Viasat Nature East	[cze][eng][hun]
	11934	V	Europe Wide	14063	Prima Love	[cze]
	11934	V	Europe Wide	14064	Nick Jr Central & Eastern Europe	[cze][eng]
	11934	V	Europe Wide	14065	Senzi	[slo]
	11934	V	Europe Wide	14067	FilmBox Extra HD Czechia & Hungary	[cze][eng]
	11934	V	Europe Wide	14068	Duck TV SD	
	11934	V	Europe Wide	14069	Cartoon Network Central & Eastern Europe	[cze][eng]
	11934	V	Europe Wide	14070	MTV NL	[dut]
	11934	V	Europe Wide	14071	Nickelodeon Nederland (02.30-21.00)	[dut]
	11934	V	Europe Wide	14071	Spike Vlaanderen (21.00-02.30)	[dut]
	11934	V	Europe Wide	14072	Comedy Central Nederland	[dut]
	11934	V	Europe Wide	14073	Spike Nederland	[dut]
	11934	V	Europe Wide	14074	Nickelodeon Nederland (02.30-21.00)	[dut]
	11934	V	Europe Wide	14075	AMC Cesko	[cze][eng]
	11934	V	Europe Wide	14076	Disney Channel Hungary & Czechia	[cze][eng]
	11934	V	Europe Wide	14078	TV Paprika Czech Republic	[cze]
	11973	V	Europe Wide	14110	Nova Sport 2	[cze][qaa]
	11973	V	Europe Wide	14111	Wau TV	[qaa][slo]
	11973	V	Europe Wide	14112	Markíza International	[slo]
	11973	V	Europe Wide	14113	Nova Gold	[cze]
	11973	V	Europe Wide	14114	Nova 2	[cze]
	11973	V	Europe Wide	14115	Joj Family	[qaa][slo]
	11973	V	Europe Wide	14116	Minimax Czechia (06-22)	[cze]
	11973	V	Europe Wide	14117	Leo TV (22-06)	[cze]
	11973	V	Europe Wide	14118	Leo TV (22-06)	[cze]
	11973	V	Europe Wide	14119	Penthouse Gold	[eng]
	11973	V	Europe Wide	14120	Penthouse Gold	[eng]
	11973	V	Europe Wide	14121	Penthouse Quickies	[eng]
	11973	V	Europe Wide	14122	Penthouse Quickies	[eng]
	11973	V	Europe Wide	14124	TV Nova +1	[cze]
	11973	V	Europe Wide	14125	TV Markíza +1	[qaa][slo]
	11973	V	Europe Wide	14128	Mnam TV	[cze]
	11973	V	Europe Wide	14129	TV Markíza	[qaa][slo]
	11973	V	Europe Wide	14130	TV Doma	[qaa][slo]
	11973	V	Europe Wide	14150	Radio Proglas	[cze]
	11973	V	Europe Wide	14151	NPO FunX NL	[dut]
	11973	V	Europe Wide	14152	L1 Radio	[dut]
	11973	V	Europe Wide	14153	Rádio 7 TWR	[cze]
	12032	H	Europe Wide	6101	Stingray Classica	[ger]
	12032	H	Europe Wide	6102	Stingray IConcerts	[eng]
	12032	H	Europe Wide	6103	Auto Motor und Sport	[bul][cze][ger][hun]
	12032	H	Europe Wide	6190	@ Astra Connect	
	12070	H	Europe Wide	13131	Sport 1 Czechia	[cze][slo]
